ticker,timestamp,open,high,low,close,volume,bu,sd,ema_20,ema_40,ema_80,ema_200,sma_40,sma_80,sma_200,macd,macd_signal,macd_diff,adx,rsi,stoch,stoch_signal,bb_upper,bb_lower,bb_width,bb_position,atr,atr_ratio,mfi,vwap,vwap_ratio,obv,return_4d,return_20d,return_40d,return_80d,return_240d,return_480d,volatility,volatility_of_volatility,volume_sma,volume_ratio,volume_zscore,bu_sd_ratio,net_active_volume,active_volume_ratio,high_low_ratio,close_open_ratio,gap,trend_sma,above_trend,vol_regime,roc_5,roc_10,roc_20,cum_return_5d,cum_return_10d,cum_return_20d,price_rank_20d,price_rank_50d
ACB,2025-07-28 09:15:00,23700.0,23750.0,23500.0,23550.0,1274600.0,280700.0,830200.0,,,,,,,,,,,,,,,,,,,,,,,,1274600.0,,,,,,,,,,,,0.3381112984822893,-549500.0,-0.4946439823566433,0.010615711252653927,-0.006329113924050633,,,0,,,,,,,,,
ACB,2025-07-28 09:30:00,23550.0,23650.0,23550.0,23600.0,859700.0,551700.0,308000.0,,,,,,,,,,,,,,,,,,,,,,,,2134300.0,,,,,,,,,,,,1.7912337662337081,243700.0,0.2834709782482228,0.00423728813559322,0.0021231422505307855,0.0,,0,,,,,,,,,
ACB,2025-07-28 09:45:00,23600.0,23650.0,23550.0,23550.0,839800.0,395100.0,444700.0,,,,,,,,,,,,,,,,,,,,,,,,1294500.0,,,,,,,,,,,,0.888464133123434,-49600.0,-0.059061681352702323,0.004246284501061571,-0.00211864406779661,0.0,,0,,,,,,,,,
ACB,2025-07-28 10:00:00,23550.0,23600.0,23500.0,23600.0,620600.0,274400.0,346200.0,,,,,,,,,,,,,,,,,,,,,,,,1915100.0,,,,,,,,,,,,0.7926054303870366,-71800.0,-0.11569448920399426,0.00423728813559322,0.0021231422505307855,0.0,,0,,,,,,,,,
ACB,2025-07-28 10:15:00,23550.0,23650.0,23550.0,23600.0,599200.0,321300.0,277900.0,,,,,,,,,,,,,,,,,,,,,,,,1915100.0,0.002123142250530785,,,,,,,,,,,1.156171284634719,43400.0,0.07242990654205486,0.00423728813559322,0.0021231422505307855,-0.00211864406779661,,0,,,,,,,,,
ACB,2025-07-28 10:30:00,23600.0,23700.0,23600.0,23700.0,733000.0,526900.0,206100.0,,,,,,,,,,,,,,,,,,,,,,,,2648100.0,0.004237288135593209,,,,,,,,,,,2.556525958272559,320800.0,0.43765347885401856,0.004219409282700422,0.00423728813559322,0.0,,0,,0.6369426751592357,,,0.6369426751592355,,,,
ACB,2025-07-28 10:45:00,23700.0,23700.0,23600.0,23650.0,1184800.0,654900.0,529900.0,,,,,,,,,,,,,,,,,,,,,,,,1463300.0,0.00424628450106157,,,,,,,,,,,1.2358935648235283,125000.0,0.10550303848750756,0.004228329809725159,-0.002109704641350211,0.0,,0,,0.211864406779661,,,0.21186440677967155,,,,
ACB,2025-07-28 11:00:00,23700.0,23750.0,23650.0,23650.0,1263500.0,593200.0,670300.0,,,,,,,,,,,,,,,,,,,,,,,,1463300.0,0.0021186440677967155,,,,,,,,,,,0.8849768760256469,-77100.0,-0.06102097348634696,0.004228329809725159,-0.002109704641350211,0.0021141649048625794,,0,,0.42462845010615713,,,0.424628450106157,,,,
ACB,2025-07-28 11:15:00,23700.0,23700.0,23600.0,23600.0,528500.0,198700.0,329800.0,,,,,,,,,,,,,,,,,,,,,,,,934800.0,0.0,,,,,,,,,,,0.6024863553668708,-131100.0,-0.24806054872279568,0.00423728813559322,-0.004219409282700422,0.0021141649048625794,,0,,0.0,,,0.0,,,,
ACB,2025-07-28 13:00:00,23600.0,23700.0,23600.0,23650.0,1088200.0,405700.0,682500.0,,,,,,,,,,,,,,,,,,,,,,,,2023000.0,-0.002109704641350185,,,,,,,,,,,0.5944322344322257,-276800.0,-0.2543650064326387,0.004228329809725159,0.00211864406779661,0.0,,0,,0.211864406779661,,,0.21186440677967155,,,,
ACB,2025-07-28 13:15:00,23650.0,23700.0,23650.0,23700.0,845500.0,697400.0,148100.0,,,,,,,,,,,,,,,,,,,,,,,,2868500.0,0.0021141649048626032,,,,,,,,,,,4.708980418635738,549300.0,0.6496747486694187,0.002109704641350211,0.0021141649048625794,0.0,,0,,0.0,0.6369426751592357,,0.0,0.6369426751592355,,,
ACB,2025-07-28 13:30:00,23700.0,23750.0,23650.0,23650.0,1585100.0,639800.0,945300.0,,,,,,,,,,,,,,,,,,,,,,,,1283400.0,0.0,,,,,,,,,,,0.6768221728551711,-305500.0,-0.19273231972746077,0.004228329809725159,-0.002109704641350211,0.0,,0,,0.0,0.211864406779661,,0.0,0.21186440677967155,,,
ACB,2025-07-28 13:45:00,23650.0,23750.0,23650.0,23750.0,965400.0,486800.0,478600.0,,,,,,,,,,,,,,,,,,,,,,,,2248800.0,0.006355932203389925,,,,,,,,,,,1.0171333054742788,8200.0,0.00849388854360878,0.004210526315789474,0.004228329809725159,0.0,,0,,0.42283298097251587,0.8492569002123143,,0.42283298097252064,0.849256900212314,,,
ACB,2025-07-28 14:00:00,23700.0,23800.0,23700.0,23800.0,2606600.0,2195100.0,411500.0,,,,,,,,,,,,,,,,,,,,,,,,4855400.0,0.00634249471458781,,,,,,,,,,,5.334386391251389,1783600.0,0.6842630246297834,0.004201680672268907,0.004219409282700422,-0.002105263157894737,,0,,0.847457627118644,0.847457627118644,,0.8474576271186418,0.8474576271186418,,,
ACB,2025-07-28 14:15:00,23750.0,23850.0,23750.0,23850.0,1081900.0,679900.0,402000.0,,,,,,,,,,,,,,,,,,,,,,,,5937300.0,0.006329113924050667,,,,,,,,,,,1.6912935323382663,277900.0,0.25686292633330016,0.0041928721174004195,0.004210526315789474,-0.0021008403361344537,,0,,0.8456659619450317,1.059322033898305,,0.8456659619450413,1.0593220338983134,,,
ACB,2025-07-28 14:45:00,23850.0,23850.0,23850.0,23850.0,794100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,5937300.0,0.008456659619450413,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,,0.6329113924050633,0.6329113924050633,,0.6329113924050667,0.6329113924050667,,,
ACB,2025-07-29 09:15:00,23900.0,23950.0,23750.0,23800.0,3091400.0,464900.0,2275200.0,,,,,,,,,,,,,,,,,,,,,,,,2845900.0,0.002105263157894832,,,,,,,,,,,0.20433368495077267,-1810300.0,-0.6606693186380036,0.008403361344537815,-0.0041841004184100415,0.0020964360587002098,,0,,0.6342494714587738,0.6342494714587738,,0.634249471458781,0.634249471458781,,,
ACB,2025-07-29 09:30:00,23750.0,23800.0,23700.0,23700.0,1891200.0,610200.0,1281000.0,,,,,,,,,,,,,,,,,,,,,,,,954700.0,-0.004201680672268893,,,,,,,,,,,0.47634660421545294,-670800.0,-0.3546954314720793,0.004219409282700422,-0.002105263157894737,-0.0021008403361344537,,0,,-0.21052631578947367,0.21141649048625794,,-0.21052631578947212,0.21141649048626032,,,
ACB,2025-07-29 09:45:00,23700.0,23750.0,23650.0,23700.0,1939500.0,479300.0,1460200.0,,,,,,,,,,,,,,,,,,,,,,,,954700.0,-0.0062893081761006275,,,,,,,,,,,0.32824270647856235,-980900.0,-0.5057489043567904,0.004219409282700422,0.0,0.0,,0,,-0.42016806722689076,0.423728813559322,,-0.42016806722688926,0.4237288135593209,,,
ACB,2025-07-29 10:00:00,23750.0,23800.0,23700.0,23750.0,1012900.0,439900.0,573000.0,23697.23150826117,,,,,,,,,,,,,,,,,,,,,,,1967600.0,-0.004192872117400381,,,,,,,,,,,0.7677137870855014,-133100.0,-0.1314048770855945,0.004210526315789474,0.0,0.002109704641350211,,0,,-0.41928721174004197,0.42283298097251587,,-0.41928721174003813,0.42283298097252064,,0.775,
ACB,2025-07-29 10:15:00,23700.0,23750.0,23300.0,23450.0,3657500.0,553400.0,3104100.0,23673.685650331536,,,,,,,,,,,,,,,,,,,,,,,-1689900.0,-0.014705882352941124,-0.00424628450106157,,,,,,,,,,0.17828033890660683,-2550700.0,-0.6973889268626092,0.019189765458422176,-0.010548523206751054,-0.002105263157894737,,0,,-1.6771488469601679,-1.0548523206751055,-0.42462845010615713,-1.6771488469601636,-1.0548523206751037,-0.424628450106157,0.05,
ACB,2025-07-29 10:30:00,23500.0,23550.0,23350.0,23400.0,1676900.0,593800.0,1083100.0,23647.62035029996,,,,,,,,,,,,,,,,,,,,,,,-3366800.0,-0.012658227848101222,-0.008474576271186418,,,,,,,,,,0.5482411596343777,-489300.0,-0.29178841910668324,0.008547008547008548,-0.00425531914893617,0.0021321961620469083,,0,,-1.680672268907563,-1.0570824524312896,-0.847457627118644,-1.6806722689075682,-1.0570824524312905,-0.8474576271186418,0.05,
ACB,2025-07-29 10:45:00,23400.0,23500.0,23350.0,23500.0,1352100.0,1029200.0,322900.0,23633.56126931901,,,,,,,,,,,,,,,,,,,,,,,-2014700.0,-0.008438818565400852,-0.002123142250530785,,,,,,,,,,3.1873645091358567,706300.0,0.5223726055765068,0.006382978723404255,0.004273504273504274,0.0,,0,,-0.8438818565400843,-1.0526315789473684,-0.21231422505307856,-0.8438818565400852,-1.0526315789473717,-0.2123142250530785,0.15,
ACB,2025-07-29 11:00:00,23500.0,23550.0,23400.0,23400.0,665600.0,295400.0,370200.0,23611.317338907673,,,,,,,,,,,,,,,,,,,,,,,-2680300.0,-0.01473684210526316,-0.008474576271186418,,,,,,,,,,0.7979470556455754,-74800.0,-0.112379807692306,0.00641025641025641,-0.00425531914893617,0.0,,0,,-1.2658227848101267,-1.680672268907563,-0.847457627118644,-1.2658227848101222,-1.6806722689075682,-0.8474576271186418,0.075,
ACB,2025-07-29 11:15:00,23400.0,23450.0,23400.0,23450.0,883800.0,501500.0,382300.0,23595.953782821227,,,,,,,,,,,,,,,,,,,,,,,-1796500.0,0.0,-0.006355932203389814,,,,,,,,,,1.3117970180486185,119200.0,0.134872143018781,0.0021321961620469083,0.002136752136752137,0.0,,0,,-1.263157894736842,-1.6771488469601679,-0.6355932203389831,-1.2631578947368438,-1.6771488469601636,-0.6355932203389814,0.175,
ACB,2025-07-29 13:00:00,23400.0,23450.0,23350.0,23400.0,2047100.0,1143800.0,903300.0,23577.291517790632,,,,,,,,,,,,,,,,,,,,,,,-3843600.0,0.0,-0.012658227848101222,,,,,,,,,,1.2662459869367733,240500.0,0.11748326901470316,0.004273504273504274,0.0,-0.0021321961620469083,,0,,-0.21321961620469082,-1.8867924528301887,-1.2658227848101267,-0.2132196162046962,-1.8867924528301883,-1.2658227848101222,0.1,
ACB,2025-07-29 13:15:00,23400.0,23450.0,23200.0,23200.0,4301900.0,670500.0,3631400.0,23541.35899228676,,,,,,,,,,,,,,,,,,,,,,,-8145500.0,-0.012765957446808529,-0.019027484143763207,,,,,,,,,,0.1846395329624933,-2960900.0,-0.6882772728329326,0.010775862068965518,-0.008547008547008548,0.0,,0,,-0.8547008547008548,-2.5210084033613445,-1.9027484143763214,-0.8547008547008517,-2.5210084033613467,-1.9027484143763207,0.05,
ACB,2025-07-29 13:30:00,23200.0,23300.0,23150.0,23300.0,1445900.0,860900.0,585000.0,23518.372421592783,,,,,,,,,,,,,,,,,,,,,,,-6699600.0,-0.004273504273504258,-0.014799154334038,,,,,,,,,,1.4716239316239064,275900.0,0.1908154090877641,0.006437768240343348,0.004310344827586207,0.0,,0,,-0.851063829787234,-1.6877637130801686,-1.4799154334038054,-0.8510638297872353,-1.6877637130801704,-1.4799154334038,0.1,
ACB,2025-07-29 13:45:00,23300.0,23300.0,23200.0,23200.0,1947300.0,1087800.0,859500.0,23488.051238583947,,,,,,,,,,,,,,,,,,,,,,,-8646900.0,-0.010660980810234588,-0.016949152542372836,,,,,,,,,,1.2656195462478037,228300.0,0.11723925435217934,0.004310344827586207,-0.004291845493562232,0.0,,0,,-0.8547008547008548,-2.109704641350211,-1.694915254237288,-0.8547008547008517,-2.1097046413502074,-1.6949152542372836,0.075,
ACB,2025-07-29 14:00:00,23250.0,23300.0,23150.0,23200.0,1393600.0,508400.0,885200.0,23460.617787290237,,,,,,,,,,,,,,,,,,,,,,,-8646900.0,-0.008547008547008517,-0.019027484143763207,,,,,,,,,,0.574333483958421,-376800.0,-0.2703788748564849,0.00646551724137931,-0.002150537634408602,0.0021551724137931034,,0,,-1.0660980810234542,-2.3157894736842106,-1.9027484143763214,-1.0660980810234588,-2.3157894736842155,-1.9027484143763207,0.1,
ACB,2025-07-29 14:15:00,23200.0,23200.0,22950.0,22950.0,4401000.0,545100.0,3855900.0,23411.987521834024,,,,,,,,,,,,,,,,,,,,,,,-13047900.0,-0.010775862068965525,-0.03164556962025311,,,,,,,,,,0.14136777406053025,-3310800.0,-0.752283571915472,0.010893246187363835,-0.010775862068965518,0.0,,0,,-1.9230769230769231,-2.1321961620469083,-3.1645569620253164,-1.9230769230769273,-2.1321961620469065,-3.164556962025311,0.05,
ACB,2025-07-29 14:45:00,22750.0,22750.0,22750.0,22750.0,2317500.0,0.0,0.0,23348.941091183166,,,,,,,,,,,,,,,,,,,,,,,-15365400.0,-0.023605150214592308,-0.038054968287526414,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-0.008714596949891068,,0,,-1.9396551724137931,-2.7777777777777777,-3.8054968287526427,-1.93965517241379,-2.777777777777779,-3.8054968287526414,0.05,
ACB,2025-07-30 09:15:00,22750.0,23000.0,22700.0,22800.0,2325700.0,844100.0,1193700.0,23296.66098726096,,,,,,,,,,,,,,,,,,,,,,,-13039700.0,-0.017241379310344862,-0.040000000000000036,,,,,,,,,,0.7071290944123255,-349600.0,-0.1715575620767486,0.013157894736842105,0.002197802197802198,0.0,,0,,-2.1459227467811157,-2.9787234042553195,-4.0,-2.145922746781115,-2.9787234042553234,-4.0000000000000036,0.1,
ACB,2025-07-30 09:30:00,22800.0,22950.0,22800.0,22950.0,691100.0,532700.0,158400.0,23263.645655140866,,,,,,,,,,,,,,,,,,,,,,,-12348600.0,-0.010775862068965525,-0.0357142857142857,,,,,,,,,,3.363005050504838,374300.0,0.5416003472724563,0.006535947712418301,0.006578947368421052,0.0,,0,,-1.0775862068965518,-1.9230769230769231,-3.571428571428571,-1.0775862068965525,-1.9230769230769273,-3.57142857142857,0.175,
ACB,2025-07-30 09:45:00,22950.0,23000.0,22900.0,22950.0,617100.0,242200.0,374900.0,23233.774640365547,,,,,,,,,,,,,,,,,,,,,,,-12348600.0,0.0,-0.037735849056603765,,,,,,,,,,0.6460389437183076,-132700.0,-0.2150380813482383,0.004357298474945534,0.0,0.0,,0,,-1.0775862068965518,-2.1321961620469083,-3.7735849056603774,-1.0775862068965525,-2.1321961620469065,-3.7735849056603765,0.2,
ACB,2025-07-30 10:00:00,22900.0,22950.0,22800.0,22900.0,895400.0,255700.0,639700.0,23201.986579378354,,,,,,,,,,,,,,,,,,,,,,,-13244000.0,0.00659340659340657,-0.03983228511530401,,,,,,,,,,0.39971861810222914,-384000.0,-0.4288586106767877,0.006550218340611353,0.0,-0.002178649237472767,,0,,-0.2178649237472767,-2.1367521367521367,-3.9832285115303985,-0.21786492374727962,-2.1367521367521403,-3.983228511530401,0.15,
ACB,2025-07-30 10:15:00,22900.0,22950.0,22900.0,22900.0,330100.0,90900.0,239200.0,23173.225952770892,,,,,,,,,,,,,,,,,,,,,,,-13244000.0,0.004385964912280604,-0.037815126050420145,,,,,,,,,,0.3800167224080109,-148300.0,-0.4492578006664511,0.002183406113537118,0.0,0.0,,0,,0.6593406593406593,-1.293103448275862,-3.7815126050420167,0.659340659340657,-1.2931034482758674,-3.7815126050420145,0.175,
ACB,2025-07-30 10:30:00,22900.0,22950.0,22900.0,22900.0,298100.0,56700.0,241400.0,23147.20443345938,,,,,,,,,,,,,,,,,,,,,,,-13244000.0,-0.002178649237472796,-0.03375527426160341,,,,,,,,,,0.23487986743992398,-184700.0,-0.6195907413619383,0.002183406113537118,0.0,0.0,,0,,0.43859649122807015,-1.7167381974248928,-3.375527426160337,0.43859649122806044,-1.716738197424894,-3.3755274261603407,0.2,
ACB,2025-07-30 10:45:00,22900.0,22950.0,22850.0,22850.0,536500.0,96000.0,440500.0,23118.899249320395,,,,,,,,,,,,,,,,,,,,,,,-13780500.0,-0.004357298474945481,-0.03586497890295359,,,,,,,,,,0.2179341657207669,-344500.0,-0.6421248835041818,0.00437636761487965,-0.002183406113537118,0.0,,0,,-0.4357298474945534,-1.5086206896551724,-3.5864978902953584,-0.43572984749454813,-1.5086206896551713,-3.5864978902953593,0.15,
ACB,2025-07-30 11:00:00,22900.0,22950.0,22850.0,22850.0,287100.0,145900.0,141200.0,23093.289797004167,23271.2960606041,,,23400.0,,,,,,,,,,,,,,,,,,,-13780500.0,-0.0021834061135370675,-0.037894736842105314,,,,,,,,,,1.0332861189800968,4700.0,0.016370602577498557,0.00437636761487965,-0.002183406113537118,0.002188183807439825,,0,,-0.4357298474945534,-1.5086206896551724,-3.7894736842105265,-0.43572984749454813,-1.5086206896551713,-3.7894736842105314,0.175,
ACB,2025-07-30 11:15:00,22850.0,22850.0,22750.0,22800.0,1752500.0,236500.0,1516000.0,23065.357435384725,23248.306008867316,,,23381.25,,,,,,,,,,,,,,,,,,,-15533000.0,-0.004366812227074246,-0.02771855010660984,-0.031847133757961776,,,,,,,,,0.1560026385224264,-1279500.0,-0.7300998573466435,0.0043859649122807015,-0.002188183807439825,0.0,,0,,-0.43668122270742354,-0.6535947712418301,-2.771855010660981,-0.4366812227074246,-0.6535947712418277,-2.771855010660984,0.125,
