entry_date,exit_date,ticker,signal,signal_name,entry_price,exit_price,return_pct,holding_days,confidence
2021-03-23,2021-03-30,TDC,1,Buy,20739.895416239997,18247.323990419998,-0.1201824491298175,5,0.46936616
2021-06-22,2021-06-25,TDC,1,Buy,18329.337396369996,17657.236398689998,-0.03666804659360479,3,0.5055248
2021-07-12,2021-07-13,TDC,1,Buy,15645.886015759997,15614.62550424,-0.001998001998001789,1,0.4857063
2021-08-20,2021-08-30,TDC,1,Buy,19806.386599999998,19236.48426,-0.02877366535903106,6,0.7262239
2021-09-01,2021-09-06,TDC,1,Buy,21400.559179999997,21647.07126,0.011518955085546699,1,0.5252964
2021-09-16,2021-09-22,TDC,1,Buy,20482.70224,21936.3417,0.07096912521440835,4,0.4954599
2021-09-27,2021-09-29,TDC,1,Buy,19903.003119999998,20923.89516,0.05129336682734754,2,0.47649908
2021-10-11,2021-10-13,TDC,1,Buy,21062.40136,22177.4004,0.052937887800273066,2,0.5264107
2021-11-09,2021-11-10,TDC,1,Buy,28115.407319999995,29071.679219999998,0.03401237937320424,1,0.50406194
2021-11-15,2021-11-19,TDC,1,Buy,29274.805559999997,26034.339600000003,-0.1106912889091105,4,0.52885115
2021-12-30,2021-12-31,TDC,1,Buy,26666.159519999997,26998.574399999998,0.012465795074490738,1,0.48971686
2021-01-27,2021-01-28,VLC,1,Buy,28804.138209873425,25034.52777802431,-0.13087044661370834,1,0.5737426
2021-01-29,2021-02-01,VLC,1,Buy,28029.38470459417,29185.774965279266,0.041256355530899624,1,0.57672805
2021-02-02,2021-02-03,VLC,1,Buy,28009.99479096919,28575.792352640412,0.020199845301422263,1,0.54385495
2021-02-25,2021-03-01,VLC,1,Buy,28402.008262084353,32260.087332978906,0.13583824901723404,2,0.6484253
2021-03-24,2021-03-26,VLC,1,Buy,32011.061315512077,30587.47294135681,-0.04447176431058906,2,0.48476622
2021-04-15,2021-04-20,VLC,1,Buy,29737.383183044232,28422.665682984916,-0.044210934498397504,3,0.5477046
2021-04-22,2021-04-28,VLC,1,Buy,27848.131164186132,26754.25806800179,-0.03927994628203669,4,0.64654076
2021-05-04,2021-05-05,VLC,1,Buy,25826.521908843853,26528.77484015737,0.02719115387631975,1,0.5268127
2021-05-07,2021-05-12,VLC,1,Buy,25879.633411382147,26233.45912010745,0.013671975298138794,3,0.6202175
