entry_date,exit_date,ticker,signal,signal_name,entry_price,exit_price,return_pct,holding_days,confidence
2022-04-07,2022-04-22,CSV,1,Buy,19761.167284720657,16937.06121571845,-0.14291190537037787,10,0.7212857
2022-05-13,2022-05-27,CSV,1,Buy,13212.40835897022,15397.328377925955,0.16536879269798982,10,0.7270594
2022-10-07,2022-10-21,CSV,1,Buy,11715.05653411333,12739.167586885207,0.0874183619848309,10,0.86019397
2022-10-24,2022-10-27,CSV,1,Buy,12493.803066727782,13668.417211923266,0.09401574035720131,3,0.761535
2022-11-07,2022-11-21,CSV,1,Buy,10834.734366810053,9427.659832204166,-0.12986700799201553,10,0.7806619
2022-11-22,2022-12-05,CSV,1,Buy,9717.40238523264,11117.204605000661,0.14405107088034907,9,0.85738343
2022-12-21,2022-12-30,CSV,1,Buy,10259.13910357316,10238.641323146441,-0.0019980019980018653,7,0.75625044
2022-09-29,2022-10-13,CTG,1,Buy,20244.96474,20025.714239999998,-0.01082987808651535,10,0.71667147
2022-04-18,2022-05-04,SJD,1,Buy,13595.934512159998,13493.387753351999,-0.007542457542457481,10,0.7337333
2022-05-09,2022-05-23,SJD,1,Buy,12538.472938991998,13078.786453668,0.04309244971895601,10,0.701517
2022-07-06,2022-07-18,SJD,1,Buy,12689.538878015997,12852.640290203999,0.012853218210361199,8,0.76382196
2022-09-05,2022-09-19,SJD,1,Buy,13142.736695087999,12890.331317447999,-0.019204932998036422,10,0.7326252
2022-11-14,2022-11-28,SJD,1,Buy,10952.280579239998,11269.617145956,0.028974473802060148,10,0.8350647
2022-11-10,2022-11-18,TDM,1,Buy,25728.382942332766,26519.572701073506,0.03075163178790139,6,0.7344693
2022-09-29,2022-10-13,TNG,1,Buy,14278.313493826781,11681.34882257456,-0.18188175181718882,10,0.7045727
2022-10-14,2022-10-28,TNG,1,Buy,11997.353278961049,11462.323532151118,-0.04459564825420089,10,0.81621903
2022-10-31,2022-11-14,TNG,1,Buy,11558.425719974633,7738.893594955609,-0.330454355770814,10,0.8710136
2022-11-15,2022-11-29,TNG,1,Buy,7022.840943782062,10221.180219752716,0.45541958041957714,10,0.8420173
2022-12-16,2022-12-30,TNG,1,Buy,11046.343567823864,9710.121208765086,-0.12096512758764526,10,0.7119822
