date,drawdown
2022-04-22,0.0
2022-05-04,-0.007542457542457506
2022-05-23,0.0
2022-05-27,0.0
2022-07-18,0.0
2022-09-19,-0.019204932998036328
2022-10-13,-0.029826824001523287
2022-10-13,-0.20628362081817206
2022-10-21,-0.13689823506956567
2022-10-27,-0.0557530836360238
2022-10-28,-0.0978623869833056
2022-11-14,-0.39597769070935723
2022-11-18,-0.3774030190623736
2022-11-21,-0.45825782616160515
2022-11-28,-0.4425611317382535
2022-11-29,-0.188692556244925
2022-12-05,-0.07182285015880793
2022-12-30,-0.07367734995869027
2022-12-30,-0.18573008750826295
