Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
ACB,HOSE,Ngân hàng,2020.0,7682.823,444530.104,1065.838,409081.941,35448.163,13598.5,60739790.0,21975.241176470587,4466653675.037688,1720.0400028630324,7.9059207793801844,7697.557836675104,1.766599262847989,0.21673402370667277
BCM,HOSE,Bất động sản,2020.0,2186.010794718,48485.332045352,134.856234879,31297.860239225,17187.471806127,41200.0,42641980.0,106.625,1034999514.5631068,2112.0887149795017,19.506756372399753,16475.964801245573,2.500612285654149,0.1271862912344519
BID,HOSE,Ngân hàng,2020.0,7223.565,1516685.712,4259.791,1437039.1,79646.612,27931.09,192654600.0,4945.74,6897496660.531329,1047.2734320169359,26.670293684628025,10929.591518525329,2.555547474272725,0.09069519491927668
BVH,HOSE,Bảo hiểm,2020.0,1649.846972925,146412.80081836,929.007245809,125591.034777516,20821.766040844,66000.0,48993300.0,1379.845,742322727.2727273,2222.546760741775,29.695663176046068,26797.992388189996,2.462871063023606,0.07923664926830214
CTG,HOSE,Ngân hàng,2020.0,13757.234,1341436.468,4401.689,1256025.218,85411.25,23955.77,128643500.0,11366.4,5370042373.924946,2561.848313674457,9.350971278092674,15085.460292334783,1.5880039147477916,0.16107051471556733
FPT,HOSE,Công nghệ Thông tin,2020.0,4423.745217598,41734.323235194,1095.369004232,23128.655834466,18605.667400728,32382.88,46328770.0,3753.05,1430656260.3449724,3092.1090832338077,10.472748253154494,12239.346991899902,2.6458012851037926,0.2377633181503023
GAS,HOSE,"Điện, nước & xăng dầu khí đốt",2020.0,7971.791219952,63208.401030103,438.495483712,13708.720044649,49499.680985454,70751.63,165748100.0,1285.594736842105,2342675356.0306664,3402.8578477297333,20.79182650759361,20942.374868735234,3.378395737993629,0.16104732517962275
GVR,HOSE,Hóa chất,2020.0,5076.35361125,80278.179092452,113.8501505,28847.527041151,51430.652051301,29950.0,119800000.0,4742.415789473684,4000000000.0,1269.0884028125,23.599616806540883,12829.20047520025,2.3345180440429987,0.09870288259589716
HDB,HOSE,Ngân hàng,2020.0,4647.097,319127.48,458.03,294423.432,24704.048,11014.49,37852020.0,10194.77,3436565832.825669,1352.250248085307,8.145304477182206,7055.304388004121,1.5611643940873108,0.18811075010864617
HPG,HOSE,Tài nguyên Cơ bản,2020.0,13506.164056907,131511.434388837,253.837302594,72291.648082726,59219.786306111,21471.12,137335400.0,39204.29,6396284870.095272,2111.563873593677,10.168349756551876,9218.78093316358,2.329062828986416,0.228068436233335
MBB,HOSE,Ngân hàng,2020.0,8606.039,494982.162,1222.395,444882.667,50099.495,10637.12,63782220.0,33056.22,5996192578.442285,1435.2506006796254,7.411332902395631,8151.355941389305,1.3049509893181066,0.17177895705335952
