Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
ACB,HOSE,Ngân hàng,2022.0,13688.193,607875.185,1131.644,549436.522,58438.663,16559.55,73965780.0,3776.4449999999997,4466653985.162641,3064.529521532119,5.403619016768686,12829.966052970054,1.2906932046142532,0.23423179616549406
BCM,HOSE,Bất động sản,2022.0,1714.339267368,48289.575211444,153.307495318,30344.447676397,17945.127535047,80600.0,83420990.0,115.965,1034999875.9305211,1656.366640456566,48.66072403980749,17190.166350245392,4.688727168649501,0.09553229777943231
BID,HOSE,Ngân hàng,2022.0,18420.014,2120609.384,4436.163,2016419.389,104189.995,28308.48,195258900.0,2362.9900000000007,6897540948.860554,2670.5189772077993,10.600366536094924,14462.231212484337,1.9574075109214866,0.17679254135677808
BVH,HOSE,Bảo hiểm,2022.0,1625.606380385,201663.976385114,904.30500692,180393.018780152,21270.957604962,46600.0,34592220.0,697.1049999999999,742322317.5965666,2189.8929101960207,21.27957937259533,27436.4007591521,1.698473513675273,0.07642375160419601
CTG,HOSE,Ngân hàng,2022.0,16834.994,1808429.764,4154.711,1700262.107,108167.657,24386.64,130956700.0,4146.1,5370018173.885373,3134.997583782731,7.778838531216584,19369.198135272498,1.2590423119060583,0.15563796486781625
FPT,HOSE,Công nghệ Thông tin,2022.0,6491.343454469,51650.40373513,1287.060189954,26294.279047318,25356.124687812,58147.48,84361340.0,1265.415,1450816785.181404,4474.268233433313,12.995975423534398,16590.00967158545,3.5049696263644825,0.25600692276092224
GAS,HOSE,"Điện, nước & xăng dầu khí đốt",2022.0,15066.392289428,82662.652366363,393.728381555,21489.088811222,61173.563555141,82924.81,194265900.0,373.08947368421053,2342675250.024691,6431.276502908034,12.893989235652338,25944.62684187465,3.196222882888386,0.2462892696425534
GVR,HOSE,Hóa chất,2022.0,4753.259290226,78376.929962202,117.61985455,24910.884584621,53466.045377581,13800.0,55199980.0,2068.0157894736844,3999998550.7246375,1188.3152531055048,11.613079916238998,13337.111213044423,1.0347068251558738,0.0889023913524583
HDB,HOSE,Ngân hàng,2022.0,8209.47,416273.023,683.436,377278.137,38994.886,11557.97,40118400.0,4386.025,3471059364.230916,2365.11944583782,4.886844095903877,11037.394057502295,1.0471647510078577,0.21052683677546843
HPG,HOSE,Tài nguyên Cơ bản,2022.0,8444.429054516,170335.519508132,633.761976329,74222.579892349,96112.939615783,16363.63,104666100.0,35503.1,6396264154.102727,1320.2126821325114,12.39469232606384,14927.334978529809,1.09621911905481,0.0878594400324565
MBB,HOSE,Ngân hàng,2022.0,18155.185,728532.373,1615.947,648919.154,79613.219,12930.05,77531140.0,14913.27,5996198003.874696,3027.7827697264606,4.270468188564314,13007.787926549254,0.9940237397020758,0.22804234306868063
MSN,HOSE,Thực phẩm và đồ uống,2022.0,4754.384,141342.815,12574.516,104706.076,36636.739,93000.0,132406400.0,901.7850000000001,1423724731.1827958,3339.398337240496,27.84932811485147,16900.895568492157,5.502666981350809,0.12977093840147727
MWG,HOSE,Bán lẻ,2022.0,4101.714424939,55834.095614049,74.172905464,31901.514096473,23932.581517576,42900.0,62778850.0,2503.1549999999997,1463376456.876457,2802.911312167762,15.305514596115168,16303.671211874775,2.631309196713547,0.1713862092949194
