Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
ACB,HOSE,Ngân hàng,2023.0,16044.733,718794.589,1444.9930000000002,647838.628,70955.96100000001,20782.61,92828780.0,7199.214999999999,4466656497.908587,3592.1125807441404,5.7856232322469925,15562.192443620179,1.3354551471646892,0.22612241133623712
BCM,HOSE,Bất động sản,2023.0,2280.087767209,53423.901937257004,140.713643803,33951.011068428,19472.890868829003,62900.0,65101490.0,514.7600000000001,1034999841.0174881,2202.9836883525413,28.552185988739,18678.43497059953,3.367519821602113,0.11709035820967
BID,HOSE,Ngân hàng,2023.0,21977.141,2300868.728,4694.779,2178001.839,122866.88900000001,35867.77,247398800.0,1311.405,6897523877.285932,3186.2363060999887,11.25709663509007,17132.54090923115,2.0935464383262703,0.17886951626161868
BVH,HOSE,Bảo hiểm,2023.0,1859.989244171,221101.602593651,858.9773726660001,198842.57948456903,22259.023109082,39500.0,29321730.0,321.245,742322278.4810127,2505.6357569882302,15.764462128956417,28828.510684343357,1.3701713707136556,0.08356113541263623
CTG,HOSE,Ngân hàng,2023.0,20044.622000000003,2032613.6060000001,3992.2720000000004,1906741.786,125871.82,27100.0,145526800.0,3337.636842105263,5369992619.926199,3732.7094129741063,7.26014189741268,22696.408845655915,1.194021494073805,0.15924630310422144
FPT,HOSE,Công nghệ Thông tin,2023.0,7788.049739616001,60282.827532899006,1257.0971414330002,30349.816316666,29933.011216233,83565.19,122044000.0,2441.38,1460464578.6122189,5332.583791259395,15.670675468235714,19634.789158699623,4.255975927450925,0.26018263526365354
GAS,HOSE,"Điện, nước & xăng dầu khí đốt",2023.0,11793.095479543,87754.455330448,387.232909253,22455.835056055002,65298.620274393004,74019.56,173403800.0,757.8947368421053,2342675368.5107017,5034.028887681596,14.703840929703016,27708.229760577466,2.6713926021110543,0.1806025216151112
GVR,HOSE,Hóa chất,2023.0,3372.8616626890002,78062.093620098,111.577190066,23084.89070404,54977.202916058006,21200.0,84799980.0,1860.4999999999995,3999999056.6037736,843.2156145438572,25.14184940878766,13716.40966650028,1.545593964853424,0.06135018669172488
HDB,HOSE,Ngân hàng,2023.0,10336.013,602314.859,709.618,555914.537,46400.322,16916.66,58718780.0,8931.465,3471062254.6058145,2977.7665284697673,5.680989371820643,13163.320231255493,1.2851362500345795,0.22275735500283814
HPG,HOSE,Tài nguyên Cơ bản,2023.0,6800.388315081001,187782.58656380101,211.11915157,84946.167324422,102836.419239379,25409.09,162523200.0,30008.170000000002,6396262125.089879,1063.1816179649522,23.89910582599784,16044.573859043801,1.5836562705389479,0.0661282098830308
LPB,HOSE,Ngân hàng,2023.0,5572.246,382863.179,779.344,348745.77900000004,34117.4,13484.59,40282450.0,4216.055000000001,2987295127.252664,1865.3148626545803,7.229122691281038,11159.947236502241,1.2083023077290418,0.16332563442700793
MBB,HOSE,Ngân hàng,2023.0,21053.792,944953.64,1659.7820000000002,848242.481,96711.159,16217.39,97242670.0,8437.115000000002,5996197291.9193535,3511.1906721903047,4.618772238274227,15851.942885217259,1.0230537743814065,0.21769764955458762
