Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
TCB,HOSE,Ngân hàng,2024.0,21760.104000000003,978798.5490000001,5890.186000000001,830858.9280000001,147939.621,24650.0,174148600.0,9683.157894736842,7064851926.977688,3080.0509656695494,8.003114323350658,20106.498546356397,1.2259717893281301,0.14708773655706472
TPB,HOSE,Ngân hàng,2024.0,6073.575000000001,418028.391,365.175,380431.98000000004,37596.411,16650.0,43988560.0,9213.9,2641955555.5555553,2298.89370668192,7.242614111128946,14092.302166745165,1.1814960964497665,0.1615466699733653
VCB,HOSE,Ngân hàng,2024.0,33853.127,2085397.2440000002,2562.2980000000002,1886441.134,198956.11000000002,91200.0,509724700.0,1445.755,5589086622.807017,6057.0052469499715,15.05694584727727,35138.80267995648,2.5954213873092886,0.1701537439589063
VHM,HOSE,Bất động sản,2024.0,35052.468,560724.1900000001,997.4820000000001,340281.15,220443.04,40000.0,164296500.0,3582.915789473684,4107412500.0,8533.953675215236,4.687159260797271,53426.71523739095,0.7486891122216288,0.1590091844133523
VIB,HOSE,Ngân hàng,2024.0,7204.467000000001,493158.36600000004,302.06300000000005,451296.56000000006,41861.806000000004,19700.0,58688820.0,8440.71052631579,2979127918.781726,2418.3140826481094,8.146170979754643,13950.304966090633,1.412155508276364,0.17210119888281933
VIC,HOSE,Bất động sản,2024.0,5251.002,839216.2000000001,37666.565,685698.65,153517.55000000002,40550.0,154655100.0,1993.2105263157898,3813935881.62762,1376.7934655889137,29.45249306703749,30375.70336671729,1.3349485116591804,0.03420457139916576
VJC,HOSE,Du lịch và Giải trí,2024.0,1426.61714779,99523.679171393,55.364521836,82593.526197906,16930.152973487002,100000.0,54161100.0,719.3473684210526,541611000.0,2634.0254311489243,37.96470558614973,31156.657548777617,3.2095869026850523,0.08426487049609736
VNM,HOSE,Thực phẩm và đồ uống,2024.0,9452.892989948,55049.061537061,1030.363831722,18874.658707398,36174.402829663006,63400.0,132483500.0,1889.2526315789476,2089645110.4100947,4523.683444071928,14.0151274473201,16818.185453052334,3.7697289149878848,0.26131441711586817
VPB,HOSE,Ngân hàng,2024.0,15986.826000000001,923847.6370000001,586.817,776572.375,147275.26200000002,19200.0,152331300.0,12105.042105263157,7933921875.0,2014.9966500646944,9.52855182135591,18488.768519667337,1.0384682992583358,0.10855065394485598
VRE,HOSE,Bất động sản,2024.0,4095.78,55226.155000000006,18.759,13303.514000000001,41922.641,17150.0,38970260.0,5431.41052631579,2272318367.3469386,1802.467497009258,9.514734678132125,18441.0259592828,0.9299916413472143,0.09769852047250553
AAA,HOSE,Hóa chất,2024.0,310.126892347,13747.883594730001,143.917892653,7512.721392568001,6235.1622021620005,8720.0,3333433.0,1675.53,382274426.6055046,811.2676934757171,10.748609947280006,15934.218680536997,0.5472499263896213,0.04973838406953802
AAM,HOSE,Thực phẩm và đồ uống,2024.0,-6.312368664,202.336554395,18.067725669,6.013144141000001,196.323410254,7300.0,76293.56,9.405,10451172.602739725,-603.9866437901181,-12.086359980067222,17056.046374956157,0.4280007124463957,-0.032152908590132784
AAT,HOSE,Hàng cá nhân & Gia dụng,2024.0,-0.44541492200000005,1321.6400134950002,0.0,589.734740137,731.905273358,3480.0,246450.7,25.13157894736842,70819166.66666667,-6.28946855724086,-553.3058903670947,10334.847299219846,0.33672485903712357,-0.0006085690842975144
ABR,HOSE,Hàng & Dịch vụ Công nghiệp,2024.0,17.95918048,354.034319477,0.0,59.936822741,294.09749673600004,13000.0,259999.9,2.8666666666666667,19999992.307692308,897.9593693689882,14.477269733412692,14704.880492523265,0.8840602279365605,0.06106539728939367
ABS,HOSE,Hóa chất,2024.0,2.5594011410000004,1001.934492037,4.704892383000001,85.411864617,916.52262742,4600.0,368000.2,845.1299999999999,80000043.47826087,31.992496875273442,143.78371334796554,11397.715493551905,0.40358964939968756,0.0027925127699298413
ABT,HOSE,Thực phẩm và đồ uống,2024.0,81.75605256700001,768.572307763,9.699548614000001,225.71037616700002,542.8619315960001,39550.0,465790.6,6.06875,11777259.165613148,6941.85730460179,5.697322526895233,45270.49761617795,0.8736374036645521,0.15060192621471785
ACC,HOSE,Xây dựng và Vật liệu,2024.0,53.013436443,2988.841278788,0.0,1651.823110123,1337.018168665,14600.0,1533000.0,212.01999999999998,105000000.0,504.8898708857143,28.917197277868983,12733.506368238095,1.146581277598259,0.03965049816483303
ACG,HOSE,Tài nguyên Cơ bản,2024.0,420.11507148000004,5639.813514365001,26.950869586000003,1463.639638592,4176.173875773,41800.0,6302935.0,13.879999999999999,150787918.66028708,2786.1321730057507,15.002877611116737,27516.945940044854,1.519063928499758,0.10059807948064368
ACL,HOSE,Thực phẩm và đồ uống,2024.0,10.536956998,1669.8399436060001,43.592820394,860.1610859240001,809.6788576820001,11900.0,596892.1,11.010000000000002,50159000.0,210.07111381805856,56.64748371975846,15273.152122012001,0.779144992790942,0.013013748473272316
ADG,HOSE,Truyền thông,2024.0,21.114304155000003,496.10170463500003,17.495545596,108.94502513900001,387.15667949600004,11300.0,241599.7,3.057894736842105,21380504.42477876,987.5493924516466,11.442465649183498,17289.63576142686,0.6535707377485809,0.05453684586428051
ADP,HOSE,Xây dựng và Vật liệu,2024.0,84.93899759600001,355.38911364300003,16.003727806,83.03126665900001,272.357846984,28950.0,667003.9,2.75,23039858.376511227,3686.611098382183,7.852740424045351,11126.549260361297,2.601884854196021,0.3118654319550039
