Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
ACB,HOSE,Ngân hàng,2021.0,9602.746,527769.944,1077.478,482869.035,44900.909,20869.58,93217150.0,5448.84,4466651940.288209,2149.8755954958933,9.707343087071136,9811.248242721225,2.1271075283904612,0.2138652916803978
BCM,HOSE,Bất động sản,2021.0,1503.686614438,48952.440778613,149.270157514,31807.520030579,17144.920748034,64000.0,66239980.0,745.89,1034999687.5,1452.837747294489,44.051718864809516,16420.923402955137,3.8974665692967334,0.08770449490764937
BID,HOSE,Ngân hàng,2021.0,10841.271,1761695.792,4403.182,1675366.766,86329.026,27208.41,187671100.0,3059.8300000000004,6897540135.5683775,1571.7590310341336,17.310802395770754,11877.54509430613,2.2907435656079467,0.12558083303291295
BVH,HOSE,Bảo hiểm,2021.0,2018.41400845,169504.598786269,960.215094926,147473.277653513,22031.321132756,56000.0,41570060.0,815.535,742322500.0,2719.052714217877,20.595407991605686,28385.379720849054,1.9728466045098567,0.09161565919208711
CTG,HOSE,Ngân hàng,2021.0,14215.342,1531587.398,4303.33,1437937.887,93649.511,30337.87,162914900.0,8718.236842105263,5370017736.9077,2647.1685376938512,11.460498101276775,16637.96757800831,1.8234120157861056,0.15179301897262443
FPT,HOSE,Công nghệ Thông tin,2021.0,5349.301099496,53697.940895875,1133.060057847,32279.955665838,21417.985230037,58601.19,84394610.0,1898.35,1440151812.6167746,3714.4008379062834,15.776754463859117,14085.268646318635,4.160459517775415,0.2497574371278413
GAS,HOSE,"Điện, nước & xăng dầu khí đốt",2021.0,8851.81212971,78768.074688564,410.225600449,26575.344013434,52192.73067513,78594.69,184122000.0,954.1789473684212,2342677348.8132596,3778.5024618068305,20.800486646346407,22103.985041266,3.5556796592682867,0.16959856315638064
GVR,HOSE,Hóa chất,2021.0,5340.046559082,79014.197735384,120.784562742,27074.158287185,51940.039448199,36950.0,147800000.0,3107.378947368421,4000000000.0,1335.0116397705,27.677661302153155,12954.813721364251,2.8522216370478892,0.1028117540112335
HDB,HOSE,Ngân hàng,2021.0,6453.499,374611.571,702.847,343821.458,30790.113,17884.06,61459650.0,9645.8,3436560266.516663,1877.8949005720015,9.523461613614568,8755.052630139615,2.042713020186014,0.20959647013961916
HPG,HOSE,Tài nguyên Cơ bản,2021.0,34520.954931298,178236.422358249,536.715844895,87455.79684681,90780.625511439,32447.54,207543600.0,24975.549999999996,6396281505.47006,5397.034965045847,6.012104833514705,14108.808311417808,2.2998072752708136,0.3802678681361159
MBB,HOSE,Ngân hàng,2021.0,13221.437,607140.419,1464.541,544654.396,62486.023,18210.46,109193500.0,12161.655,5996196691.352114,2204.970530581216,8.25882239578043,10176.697853825743,1.789427205324182,0.21159031036428738
MSN,HOSE,Thực phẩm và đồ uống,2021.0,10101.381,126093.471,11292.76,83756.819,42336.652,142499.9,201871300.0,4989.640000000001,1416641695.8889093,7130.512273720435,19.984524888230627,21913.721790124706,6.502770335626729,0.23859659474254127
MWG,HOSE,Bán lẻ,2021.0,4901.42667389,62971.404814942,80.213940012,42593.158815096,20378.245999846,67949.94,96874050.0,1600.8799999999999,1425667925.5345922,3437.986214112294,19.764459706405493,14237.559600159138,4.772583357560835,0.24052250001923817
PLX,HOSE,Dầu khí,2021.0,3123.734179723,64791.24098912,2265.630661985,36531.049417061,28260.191572059,53900.0,68484940.0,1071.636842105263,1270592578.8497217,2458.486088869607,21.924061414877805,20458.61225917681,2.634587298355141,0.11053478430101842
POW,HOSE,"Điện, nước & xăng dầu khí đốt",2021.0,2052.153151417,52976.917956925,34.001213237,21851.540246332,31125.377710593,17500.0,40982750.0,32957.4,2341871428.571429,876.2877100681993,19.97060987953148,13276.295238941502,1.3181388094375677,0.0659318312695876
SAB,HOSE,Thực phẩm và đồ uống,2021.0,3929.305547238,30487.024372425,933.180006965,7892.238669264,22594.785703161,75499.94,96833440.0,273.41052631578947,1282563138.4607723,3063.6351766304715,24.643906877658438,16889.309420035643,4.470279874820404,0.17390320044895544
SHB,HOSE,Ngân hàng,2021.0,5007.161,506604.328,4442.784,471072.663,35531.665,14804.78,59471260.0,15466.121052631579,4017030985.938325,1246.4830412131844,11.877241414845658,7739.268407146241,1.9129430872729067,0.1409210910887514
SSB,HOSE,Ngân hàng,2021.0,2606.518,211663.515,596.235,193000.251,18663.264,26012.23,67419090.0,4072.9578947368414,2591822769.520337,1005.6698438845734,25.865576220843284,6970.781031969892,3.731609109610653,0.13966035094397208
SSI,HOSE,Dịch vụ tài chính,2021.0,2695.06769802,50793.056562082,52.976200586,36572.973831934,14220.082730148,39122.96,50885620.0,19712.23157894737,1300658743.6124465,2072.07902246113,18.881017362712047,10892.254866341269,3.5918145948729054,0.1895254584072276
STB,HOSE,Ngân hàng,2021.0,3411.496,521117.123,3676.602,486855.787,34261.336,31500.0,59384320.0,15660.694736842102,1885216507.936508,1809.6043534724317,17.407119926272813,16223.45967757145,1.9416327112735396,0.0995727662225431
TCB,HOSE,Ngân hàng,2021.0,18415.382,568728.95,3595.749,475687.478,93041.472,24999.99,175545700.0,15304.547368421054,7021830808.732323,2622.5898204637315,9.532558162518702,12738.23386470173,1.962594678786374,0.19792659772192772
TPB,HOSE,Ngân hàng,2021.0,4829.179,292827.078,275.743,266840.008,25987.07,24576.7,64931040.0,10297.589473684213,2641975529.6683445,1827.8666648385733,13.445564970774535,9731.856601725456,2.525386573785166,0.18583006856871515
VCB,HOSE,Ngân hàng,2021.0,21939.045,1414672.587,3073.419,1305555.194,109117.393,66719.94,372921900.0,1512.1200000000003,5589362040.793202,3925.1429483151833,16.99809175832403,18972.46469741136,3.516672243912695,0.20105910154946607
VHM,HOSE,Bất động sản,2021.0,38948.478,230516.471,1226.456,99109.06,131407.411,82000.0,357057800.0,6713.852631578947,4354363414.634147,8944.700818746993,9.167439097363445,29896.667458321866,2.742780616411979,0.2963948357524524
VIB,HOSE,Ngân hàng,2021.0,6409.75,309517.129,302.113,285226.389,24290.74,24955.15,73463650.0,4701.3105263157895,2943827226.043522,2177.352646002479,11.461234837552166,8148.789028030183,3.062436628824153,0.2638762754860494
VIC,HOSE,Bất động sản,2021.0,-7558.164,428384.465,24628.519,268812.599,159571.866,95100.0,361875700.0,2656.6315789473683,3805212407.9915876,-1986.2659924388404,-47.87878378929062,35462.76331817804,2.6816861152851055,-0.047365266756985845
VJC,HOSE,Du lịch và Giải trí,2021.0,79.659307309,51653.70401134,8.097553572,34799.49369086,16854.21032048,128300.0,69488700.0,781.6947368421052,541611067.8098208,147.07843329555308,872.3236787692866,31103.708487772783,4.1249100585686165,0.004726374347672869
VNM,HOSE,Thực phẩm và đồ uống,2021.0,10632.535972478,53332.403438219,1086.50396833,17482.289188835,35850.114249384,86400.0,180545200.0,1547.2473684210527,2089643518.5185184,5088.205657209935,16.98044572502137,16636.143903482705,5.193511218781447,0.2965830429023164
VPB,HOSE,Ngân hàng,2021.0,11477.17,547409.439,656.016,461131.292,86278.147,23866.65,161769200.0,24468.92105263158,6778043839.416088,1693.28648086595,14.09486833426707,12632.277546227288,1.8893386337230955,0.1330252259590137
VRE,HOSE,Bất động sản,2021.0,1315.013,37873.488,12.299,7222.659,30650.829,30100.0,68396780.0,7368.578947368421,2272318272.425249,578.7098647041571,52.012246266766944,13483.379670797369,2.232377989413983,0.04290301577161257
AAA,HOSE,Hóa chất,2021.0,324.143024419,10009.526635291,78.420099468,4555.144898241,5454.38173705,20200.0,6593978.0,8637.58,326434554.4554455,992.9801241775148,20.34280395766396,16468.727235540737,1.226567160357535,0.05942800486757142
AAM,HOSE,Thực phẩm và đồ uống,2021.0,0.225510011,201.087507683,19.975010037,6.761017862,194.326489821,12600.0,131684.9,19.195,10451182.53968254,21.577463616557406,583.942590468855,16682.464316549584,0.7552840971762405,0.0011604697393943774
AAT,HOSE,Hàng cá nhân & Gia dụng,2021.0,28.813656259,976.612415331,8.496257967,307.875600855,668.736814476,16216.21,1148425.0,900.9947368421053,70819568.81416805,406.8600916592362,39.85696885105608,9322.854792317137,1.7394039016207354,0.04308669066107483
ABR,HOSE,Hàng & Dịch vụ Công nghiệp,2021.0,19.324742565,312.514908356,0.0,56.749743771,255.765164585,25000.0,74999.94,1.4727272727272727,2999997.6,6441.586008268807,3.8810317781845183,85255.1230657651,0.29323750997010706,0.07555658565292105
ABS,HOSE,Bán lẻ,2021.0,65.35194562,1592.951748069,8.751527167,666.547625424,926.404122645,27500.0,2200001.0,1492.3749999999998,80000036.36363636,816.8989489322959,33.663894458357525,11470.65222954217,2.397422522249863,0.07054366881854109
ABT,HOSE,Thực phẩm và đồ uống,2021.0,33.793208794,594.273998812,10.970445454,175.678304886,418.595693926,35700.0,410452.1,2.4999999999999996,11497257.703081232,2939.2407882571442,12.145993667013826,35454.12819291313,1.0069349274575032,0.0807299484546872
ACC,HOSE,Xây dựng và Vật liệu,2021.0,38.497402252,1175.563025601,8.308861069,700.477035724,475.085989877,16003.71,1024499.0,226.68,64016343.710302174,601.3683384701741,26.612159264506626,7291.530596004368,2.1948354723725294,0.08103249321657958
ACG,HOSE,Tài nguyên Cơ bản,2021.0,451.279222834,4982.919025724,16.601715399,1206.120120534,3776.79890519,62291.91,9500263.0,136.615,152511987.51170096,2958.975423485168,21.051851091967087,24655.092698877274,2.526533189746904,0.11948722560098747
ACL,HOSE,Thực phẩm và đồ uống,2021.0,42.088175559,1458.179314834,49.50526563,751.726674397,706.452640437,18050.0,905370.0,248.75,50159002.7700831,839.095142140727,21.511267427851205,13097.297364907556,1.37814691818501,0.05957678285831722
ADG,HOSE,Truyền thông,2021.0,38.66578145,449.600789258,4.692237308,180.148111892,269.452677366,49023.24,1048155.0,161.805,21380777.769890364,1808.4366184494638,27.108077496258648,12383.106120248383,3.9588807140915203,0.1434974847085298
ADP,HOSE,Xây dựng và Vật liệu,2021.0,49.583636438,330.930226485,17.45861215,52.864665516,278.065560969,26600.0,612860.3,1.229411764705882,23039860.90225564,2152.0805463346214,12.360132173168223,11311.133774834818,2.3516652291019744,0.17831635196106793
ADS,HOSE,Hàng cá nhân & Gia dụng,2021.0,100.486275127,1985.168600052,0.914253111,1401.266277396,583.902322656,27485.83,1383824.0,657.09,50346815.0679823,1995.8814672053313,13.771273721222608,11579.44288546957,2.3736746466870624,0.17209432336202649
AGG,HOSE,Bất động sản,2021.0,421.167355783,12564.827909056,1.257530607,9889.238534248,2675.589374808,29142.71,4303028.0,1593.7999999999997,147653667.0748877,2852.4002425851727,10.216907699316254,18112.193873550204,1.6090104933427196,0.15741105856844081
