ticker,timestamp,open,high,low,close,volume,bu,sd
ACB,2020-01-02,6579.9458298169,6637.6646528855,6551.0864182826,6637.6646528855,1163109.0,0.0,0.0
ACB,2020-01-03,6637.6646528855,6695.3834759541,6608.8052413512,6637.6646528855,1055637.0,0.0,0.0
ACB,2020-01-06,6637.6646528855,6637.6646528855,6493.3675952141,6493.3675952141,1286085.0,0.0,0.0
ACB,2020-01-07,6493.3675952141,6551.0864182826,6493.3675952141,6493.3675952141,1050934.0,0.0,0.0
ACB,2020-01-08,6493.3675952141,6493.3675952141,6349.0705375427,6377.9299490769,2304937.0,0.0,0.0
ACB,2020-01-09,6406.7893606112,6522.2270067484,6406.7893606112,6464.5081836798,1422258.0,0.0,0.0
ACB,2020-01-10,6493.3675952141,6666.5240644198,6493.3675952141,6551.0864182826,2371531.0,0.0,0.0
ACB,2020-01-13,6608.8052413512,6608.8052413512,6551.0864182826,6608.8052413512,1523357.0,0.0,0.0
ACB,2020-01-14,6608.8052413512,6781.9617105569,6608.8052413512,6781.9617105569,2851982.0,0.0,0.0
ACB,2020-01-15,6781.9617105569,6781.9617105569,6695.3834759541,6724.2428874884,1158657.0,0.0,0.0
ACB,2020-01-16,6724.2428874884,6926.2587682284,6724.2428874884,6897.3993566941,2829777.0,0.0,0.0
ACB,2020-01-17,6926.2587682284,6955.1181797626,6839.6805336255,6868.5399451598,2851269.0,0.0,0.0
ACB,2020-01-20,6868.5399451598,7128.2746489683,6868.5399451598,7012.8370028312,4443379.0,0.0,0.0
ACB,2020-01-21,7070.5558258998,7128.2746489683,7012.8370028312,7070.5558258998,1800816.0,0.0,0.0
ACB,2020-01-22,7099.4152374341,7099.4152374341,7012.8370028312,7070.5558258998,1699379.0,0.0,0.0
ACB,2020-01-30,6983.9775912969,7012.8370028312,6695.3834759541,6810.8211220912,4250097.0,0.0,0.0
ACB,2020-01-31,6781.9617105569,6868.5399451598,6608.8052413512,6637.6646528855,4243264.0,0.0,0.0
ACB,2020-02-03,6435.6487721455,6637.6646528855,6262.4923029398,6522.2270067484,4441186.0,0.0,0.0
ACB,2020-02-04,6608.8052413512,6695.3834759541,6493.3675952141,6695.3834759541,2397161.0,0.0,0.0
ACB,2020-02-05,6753.1022990226,6781.9617105569,6608.8052413512,6637.6646528855,4561850.0,0.0,0.0
ACB,2020-02-06,6666.5240644198,6926.2587682284,6637.6646528855,6926.2587682284,2993981.0,0.0,0.0
ACB,2020-02-07,6926.2587682284,6955.1181797626,6810.8211220912,6868.5399451598,2007380.0,0.0,0.0
ACB,2020-02-10,6868.5399451598,6897.3993566941,6753.1022990226,6810.8211220912,3422765.0,0.0,0.0
ACB,2020-02-11,6810.8211220912,6868.5399451598,6781.9617105569,6839.6805336255,1862090.0,0.0,0.0
ACB,2020-02-12,6868.5399451598,7416.8687643112,6868.5399451598,7388.0093527769,11021399.0,0.0,0.0
ACB,2020-02-13,7388.0093527769,7416.8687643112,7243.7122951055,7359.1499412426,6473456.0,0.0,0.0
ACB,2020-02-14,7359.1499412426,7734.3222911883,7359.1499412426,7618.8846450512,8018130.0,0.0,0.0
ACB,2020-02-17,7590.0252335169,7705.462879654,7503.446998914,7618.8846450512,4094562.0,0.0,0.0
ACB,2020-02-18,7618.8846450512,7820.9005257912,7590.0252335169,7676.6034681198,20936742.0,0.0,0.0
ACB,2020-02-19,7647.7440565855,7705.462879654,7474.5875873798,7590.0252335169,5091969.0,0.0,0.0
ACB,2020-02-20,7590.0252335169,7792.0411142569,7532.3064104483,7618.8846450512,5778717.0,0.0,0.0
ACB,2020-02-21,7185.9934720369,7676.6034681198,7185.9934720369,7416.8687643112,6334103.0,0.0,0.0
ACB,2020-02-24,7359.1499412426,7388.0093527769,6868.5399451598,6926.2587682284,10353149.0,0.0,0.0
ACB,2020-02-25,6781.9617105569,7243.7122951055,6666.5240644198,7243.7122951055,11479866.0,0.0,0.0
ACB,2020-02-26,7214.8528835712,7243.7122951055,7012.8370028312,7099.4152374341,9059324.0,0.0,0.0
ACB,2020-02-27,6983.9775912969,7359.1499412426,6983.9775912969,7359.1499412426,5309790.0,0.0,0.0
ACB,2020-02-28,6637.6646528855,7301.4311181741,6637.6646528855,7272.5717066398,6258742.0,0.0,0.0
ACB,2020-03-02,7041.6964143655,7359.1499412426,7041.6964143655,7272.5717066398,3829540.0,0.0,0.0
ACB,2020-03-03,7388.0093527769,7474.5875873798,7301.4311181741,7388.0093527769,6364704.0,0.0,0.0
ACB,2020-03-04,7388.0093527769,7445.7281758455,7301.4311181741,7445.7281758455,5047876.0,0.0,0.0
ACB,2020-03-05,7503.446998914,7618.8846450512,7330.2905297083,7388.0093527769,5996180.0,0.0,0.0
ACB,2020-03-06,7359.1499412426,7359.1499412426,7243.7122951055,7301.4311181741,3960239.0,0.0,0.0
ACB,2020-03-09,7128.2746489683,7128.2746489683,6637.6646528855,6724.2428874884,16806203.0,0.0,0.0
ACB,2020-03-10,6637.6646528855,7157.1340605026,6608.8052413512,6983.9775912969,7582425.0,0.0,0.0
ACB,2020-03-11,7012.8370028312,7041.6964143655,6637.6646528855,6753.1022990226,8046422.0,0.0,0.0
ACB,2020-03-12,6637.6646528855,6637.6646528855,6204.7734798712,6377.9299490769,11112299.0,0.0,0.0
ACB,2020-03-13,6204.7734798712,6493.3675952141,5916.1793645284,6349.0705375427,9175236.0,0.0,0.0
ACB,2020-03-16,6349.0705375427,6435.6487721455,5973.898187597,6031.6170106655,4619347.0,0.0,0.0
ACB,2020-03-17,6002.7575991312,6175.9140683369,5800.7417183912,6089.3358337341,6773272.0,0.0,0.0
ACB,2020-03-18,6147.0546568027,6233.6328914055,6031.6170106655,6118.1952452684,4994743.0,0.0,0.0
ACB,2020-03-19,6060.4764221998,6147.0546568027,5973.898187597,6089.3358337341,8183927.0,0.0,0.0
ACB,2020-03-20,6695.3834759541,6695.3834759541,6060.4764221998,6175.9140683369,5271663.0,0.0,0.0
ACB,2020-03-23,6118.1952452684,6175.9140683369,5569.866426117,5569.866426117,10424247.0,0.0,0.0
ACB,2020-03-24,5512.1476030484,5743.0228953227,5512.1476030484,5656.4446607198,5827348.0,0.0,0.0
ACB,2020-03-25,5771.882306857,6002.7575991312,5771.882306857,5916.1793645284,4330399.0,0.0,0.0
ACB,2020-03-26,5945.0387760627,5945.0387760627,5685.3040722541,5685.3040722541,3631529.0,0.0,0.0
ACB,2020-03-27,5685.3040722541,5800.7417183912,5627.5852491855,5685.3040722541,3980691.0,0.0,0.0
ACB,2020-03-30,5627.5852491855,5627.5852491855,5165.834664637,5252.4128992398,5935098.0,0.0,0.0
ACB,2020-03-31,5252.4128992398,5425.5693684455,5021.5376069656,5136.9752531027,4752153.0,0.0,0.0
ACB,2020-04-01,4646.3652570199,5483.2881915141,4646.3652570199,5367.850545377,4261228.0,0.0,0.0
ACB,2020-04-03,5223.5534877055,5598.7258376513,5223.5534877055,5512.1476030484,5382373.0,0.0,0.0
ACB,2020-04-06,5598.7258376513,6002.7575991312,5512.1476030484,5945.0387760627,5757259.0,0.0,0.0
ACB,2020-04-07,6060.4764221998,6060.4764221998,5771.882306857,5858.4605414598,4467621.0,0.0,0.0
ACB,2020-04-08,6435.6487721455,6435.6487721455,5685.3040722541,5829.6011299255,2331536.0,0.0,0.0
ACB,2020-04-09,6406.7893606112,6406.7893606112,5771.882306857,5771.882306857,4068966.0,0.0,0.0
ACB,2020-04-10,5483.2881915141,5829.6011299255,5483.2881915141,5714.1634837884,2517484.0,0.0,0.0
ACB,2020-04-13,5165.834664637,5887.3199529941,5165.834664637,5771.882306857,1947793.0,0.0,0.0
ACB,2020-04-14,5771.882306857,5829.6011299255,5685.3040722541,5771.882306857,3167293.0,0.0,0.0
ACB,2020-04-15,5771.882306857,5973.898187597,5771.882306857,5829.6011299255,3686239.0,0.0,0.0
ACB,2020-04-16,5829.6011299255,5887.3199529941,5800.7417183912,5887.3199529941,1895218.0,0.0,0.0
ACB,2020-04-17,5916.1793645284,6089.3358337341,5916.1793645284,6060.4764221998,4809391.0,0.0,0.0
ACB,2020-04-20,6118.1952452684,6118.1952452684,5945.0387760627,5973.898187597,3064105.0,0.0,0.0
ACB,2020-04-21,5945.0387760627,5945.0387760627,5685.3040722541,5714.1634837884,6307833.0,0.0,0.0
ACB,2020-04-22,5714.1634837884,5887.3199529941,5598.7258376513,5887.3199529941,2779324.0,0.0,0.0
ACB,2020-04-23,5916.1793645284,6002.7575991312,5858.4605414598,5858.4605414598,2076603.0,0.0,0.0
ACB,2020-04-24,5829.6011299255,5887.3199529941,5771.882306857,5858.4605414598,1294752.0,0.0,0.0
ACB,2020-04-27,5858.4605414598,5945.0387760627,5771.882306857,5800.7417183912,2011865.0,0.0,0.0
ACB,2020-04-28,5800.7417183912,5887.3199529941,5771.882306857,5858.4605414598,1246915.0,0.0,0.0
ACB,2020-04-29,5858.4605414598,5916.1793645284,5829.6011299255,5916.1793645284,1251067.0,0.0,0.0
ACB,2020-05-04,5916.1793645284,5916.1793645284,5800.7417183912,5858.4605414598,1293939.0,0.0,0.0
ACB,2020-05-05,5829.6011299255,5887.3199529941,5829.6011299255,5858.4605414598,1126770.0,0.0,0.0
ACB,2020-05-06,5887.3199529941,6118.1952452684,5829.6011299255,6002.7575991312,4453036.0,0.0,0.0
ACB,2020-05-07,6031.6170106655,6118.1952452684,6002.7575991312,6118.1952452684,3393997.0,0.0,0.0
ACB,2020-05-08,6147.0546568027,6320.2111260084,6060.4764221998,6175.9140683369,6021918.0,0.0,0.0
ACB,2020-05-11,6320.2111260084,6320.2111260084,6175.9140683369,6262.4923029398,4446851.0,0.0,0.0
ACB,2020-05-12,6262.4923029398,6349.0705375427,6175.9140683369,6291.3517144741,4165430.0,0.0,0.0
ACB,2020-05-13,6349.0705375427,6349.0705375427,6204.7734798712,6262.4923029398,7223900.0,0.0,0.0
ACB,2020-05-14,6262.4923029398,6291.3517144741,6175.9140683369,6175.9140683369,3857622.0,0.0,0.0
ACB,2020-05-15,6204.7734798712,6406.7893606112,6175.9140683369,6262.4923029398,7037907.0,0.0,0.0
ACB,2020-05-18,6320.2111260084,6320.2111260084,6175.9140683369,6291.3517144741,2851625.0,0.0,0.0
