entry_date,exit_date,ticker,signal,signal_name,entry_price,exit_price,return_pct,holding_days,confidence
2022-11-14,2022-11-28,CSV,1,Buy,8650.858220999793,10340.014009514312,0.19525875298870649,10,0.8332267
2022-10-04,2022-10-18,CTG,1,Buy,18587.744174999996,20562.1173,0.1062190821226969,10,0.81301063
2022-11-15,2022-11-29,SJD,1,Buy,10272.483853632,11458.072282176,0.11541399776693882,10,0.8205397
2022-10-03,2022-10-17,TNG,1,Buy,12493.524307098533,11973.38254313895,-0.04163290927156955,10,0.834086
2022-10-28,2022-11-11,TNG,1,Buy,11485.27112681008,8468.977896366581,-0.2626227275908674,10,0.83930176
2022-11-14,2022-11-28,TNG,1,Buy,7754.38687542599,10367.197080034712,0.33694607279510874,10,0.8369152
