date,drawdown
2021-01-25,0.0
2021-01-28,-0.13087044661370828
2021-01-29,-0.1190303826288189
2021-02-01,-0.08268478688263294
2021-02-03,-0.0641551614850209
2021-02-03,-0.11319543682996186
2021-02-04,-0.1932022112134713
2021-02-04,-0.11645718691958482
2021-02-18,-0.09684608315818145
2021-03-01,0.0
2021-03-02,-0.00793849008134382
2021-03-10,0.0
2021-03-11,0.0
2021-03-18,0.0
2021-03-26,-0.03991863059219788
2021-03-26,-0.08261514297148932
2021-03-30,-0.09515628934236037
2021-03-30,-0.20390262256890734
2021-03-30,-0.22609155047133359
2021-04-01,-0.21478297207507263
2021-04-12,-0.2241107299660724
2021-04-14,-0.22566095827782842
2021-04-19,-0.23186346218676837
2021-04-20,-0.26582349634585506
2021-04-22,-0.267290382467042
2021-04-28,-0.29607117688406825
2021-04-28,-0.29747762807910494
2021-05-05,-0.27837523416264687
2021-05-11,-0.29299112038867126
2021-05-11,-0.3078693032995603
2021-05-12,-0.2984065095111884
2021-05-14,-0.30626562824604436
2021-05-14,-0.31921225747802107
2021-05-19,-0.3255682633893539
2021-05-21,-0.3654747545813661
2021-05-24,-0.31215137671100257
2021-05-25,-0.31236862761381323
2021-06-02,-0.2928200322157634
2021-06-02,-0.18812596337486837
2021-06-15,-0.13747377250424916
2021-06-15,-0.13441486330583305
2021-06-25,-0.16615417942886657
2021-06-28,-0.09381981766144873
2021-07-02,-0.15514539336484873
2021-07-02,-0.14999692872900855
2021-07-06,-0.1469294794657619
2021-07-06,-0.15908725134358015
2021-07-08,-0.1628527494273861
2021-07-13,-0.16452537130665193
2021-07-13,-0.1555174862646592
2021-07-15,-0.15764779637953652
2021-07-19,-0.17246211475438547
2021-07-20,-0.17875533745588937
2021-07-21,-0.15969275136483627
2021-07-23,-0.14715764772191106
2021-07-30,-0.1583187214630076
2021-08-25,-0.15435403104416304
2021-08-25,-0.1446607922114499
2021-08-30,-0.13433594649205577
2021-08-30,-0.15924427428103563
2021-08-30,-0.0758004644705074
2021-08-31,-0.061559464959795536
2021-09-01,-0.055160923948052755
2021-09-06,-0.044277365067940826
2021-09-09,-0.03546989968748653
2021-09-15,0.0
2021-09-21,-0.0019980019980018753
2021-09-22,0.0
2021-09-29,-0.040199035414346385
2021-09-29,0.0
2021-10-07,0.0
2021-10-12,0.0
2021-10-13,-0.026104330452164315
2021-10-13,0.0
2021-10-19,0.0
2021-10-28,0.0
2021-10-29,-0.011112175495725815
2021-11-03,-0.05401981046882781
2021-11-04,-0.021369998367004393
2021-11-10,0.0
2021-11-17,0.0
2021-11-19,-0.10750107035821345
2021-11-19,-0.20629292723026432
2021-11-23,-0.2002622051200572
2021-11-24,-0.1942484879537592
2021-11-29,-0.203516872693439
2021-11-30,-0.18625714921668873
2021-12-08,-0.18788300905841354
2021-12-09,-0.18190248365996625
2021-12-10,-0.18214082406285878
2021-12-20,-0.21400546728118938
2021-12-27,-0.22215087776950096
2021-12-31,-0.21245437001290315
2021-12-31,-0.21402788775513498
2021-12-31,-0.21525145740628782
