ts_utc,ts_local,ticker,price,signal,method
2025-09-18T09:24:31.394165+00:00,2025-09-11 10:00:00,MBB,26200,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.394165+00:00,2025-09-11 10:15:00,MBB,26400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.395220+00:00,2025-09-16 10:45:00,MBB,27650,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.395220+00:00,2025-09-16 13:45:00,MBB,27600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.395220+00:00,2025-09-18 09:15:00,MBB,26900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.395220+00:00,2025-09-18 09:45:00,MBB,26750,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.396231+00:00,2025-09-18 13:30:00,MBB,26650,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.396231+00:00,2025-09-18 13:45:00,MBB,26800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.947065+00:00,2025-08-20 10:45:00,ACB,27500,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.948072+00:00,2025-08-21 10:45:00,ACB,28450,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.948072+00:00,2025-08-21 11:15:00,ACB,28400,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.948072+00:00,2025-08-22 13:45:00,ACB,28000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.949079+00:00,2025-08-25 13:15:00,ACB,26700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.949985+00:00,2025-08-25 13:45:00,ACB,26550,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.949985+00:00,2025-08-25 14:15:00,ACB,26300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.950985+00:00,2025-08-26 13:30:00,ACB,26900,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.950985+00:00,2025-08-27 10:30:00,ACB,27800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.951982+00:00,2025-08-29 13:30:00,ACB,28050,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.951982+00:00,2025-09-03 10:00:00,ACB,27250,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.953258+00:00,2025-09-03 11:00:00,ACB,27250,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.953761+00:00,2025-09-05 14:15:00,ACB,27200,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.953761+00:00,2025-09-08 09:15:00,ACB,27250,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.954824+00:00,2025-09-08 09:30:00,ACB,27000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.954824+00:00,2025-09-08 10:45:00,ACB,26800,1,Wyckoff+VSA+RSI
