date,drawdown
2024-01-29,0.0
2024-01-30,-0.008111337360954455
2024-02-01,0.0
2024-02-05,-0.09984133513545262
2024-02-07,-0.037123474893738975
2024-02-07,0.0
2024-02-19,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-27,0.0
2024-02-29,0.0
2024-03-01,-0.012334041102740678
2024-03-06,-0.008108075131547881
2024-03-08,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-20,-0.03817291450553702
2024-03-21,0.0
2024-03-22,-0.049240700128273945
2024-03-25,0.0
2024-04-02,-0.00808338003459955
2024-04-04,-0.025974897346698427
2024-04-05,-0.09389043448337547
2024-04-08,-0.17585463210336422
2024-04-10,-0.19380631697533976
2024-04-11,-0.15262088799195636
2024-04-15,-0.18215546909646568
2024-04-15,-0.2479058083694682
2024-04-17,-0.2832930992205324
2024-04-23,-0.2886878229735665
2024-04-24,-0.27809959235589743
2024-05-02,-0.23901618554594467
2024-05-08,-0.19150041531323872
2024-05-14,-0.17022546715836764
2024-05-16,-0.17944113733114211
2024-05-27,-0.1995777679984368
2024-05-29,-0.22309593663504132
2024-05-31,-0.16524210950106835
2024-06-03,-0.12306311308856112
2024-06-07,-0.12374663307374859
2024-06-14,-0.12743641923110954
2024-06-14,-0.09631866349977024
2024-06-21,-0.1474806065521114
2024-06-25,-0.17491426633812554
2024-07-02,-0.17269688688477014
2024-07-05,-0.09861906487018125
2024-07-10,-0.10641722560766786
2024-07-11,-0.02153890915893215
2024-07-22,-0.02349387637339965
2024-07-29,-0.03248143620524659
2024-07-29,-0.08970644504811215
2024-08-01,-0.14455787143704718
2024-08-01,-0.1224577609638465
2024-08-02,-0.18769764863062288
2024-08-05,-0.19762110171322783
2024-08-14,-0.2218877207979379
2024-08-15,-0.38347622233552886
2024-08-16,-0.3834235037078427
2024-08-22,-0.2885007908159868
2024-08-22,-0.2315382067760198
2024-08-27,-0.23070653816863446
2024-08-28,-0.21787808345278056
2024-08-29,-0.1965110335760203
2024-08-30,-0.15745293788764195
2024-09-10,-0.13911848584529982
2024-09-13,-0.1408385288306238
2024-09-23,-0.0945716025847102
2024-09-24,-0.0485859078700041
2024-09-27,0.0
2024-10-02,0.0
2024-10-03,-0.053323819038104625
2024-10-04,-0.13241491277553713
2024-10-04,-0.08610894866489359
2024-10-17,-0.048766465140743
2024-10-18,-0.06803287862608087
2024-10-21,-0.12924823441032177
2024-10-24,-0.17079007459707404
2024-10-24,-0.18902804858728253
2024-10-31,-0.1587698284579858
2024-11-01,-0.16045060802150624
2024-11-05,-0.12687775230317264
2024-11-06,-0.11191089823306395
2024-11-12,-0.1305140621207829
2024-11-18,-0.1524837794798869
2024-11-18,-0.17103166156250443
2024-11-26,-0.17924090875534734
2024-11-27,-0.17192866451373495
2024-11-27,-0.15758798791000553
2024-11-28,-0.14138328046975532
2024-11-28,-0.11675962211192621
2024-12-04,-0.10117245504441173
2024-12-06,-0.07969021372603956
2024-12-12,-0.15902498560535544
2024-12-19,-0.10752902846986215
2024-12-26,0.0
2024-12-31,0.0
2024-12-31,0.0
2024-12-31,-0.028162848387567354
