ticker,timestamp,open,high,low,close,volume,bu,sd,label,hit_time,hit_type,ub,lb,vbar_end
ACB,2020-01-02,6579.9458298169,6637.6646528855,6551.0864182826,6637.6646528855,1163109.0,0.0,0.0,1,1970-01-01 00:00:00.000000010,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000010
ACB,2020-01-03,6637.6646528855,6695.3834759541,6608.8052413512,6637.6646528855,1055637.0,0.0,0.0,1,1970-01-01 00:00:00.000000011,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000011
ACB,2020-01-06,6637.6646528855,6637.6646528855,6493.3675952141,6493.3675952141,1286085.0,0.0,0.0,1,1970-01-01 00:00:00.000000012,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000012
ACB,2020-01-07,6493.3675952141,6551.0864182826,6493.3675952141,6493.3675952141,1050934.0,0.0,0.0,1,1970-01-01 00:00:00.000000013,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000013
ACB,2020-01-08,6493.3675952141,6493.3675952141,6349.0705375427,6377.9299490769,2304937.0,0.0,0.0,1,1970-01-01 00:00:00.000000014,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000014
ACB,2020-01-09,6406.7893606112,6522.2270067484,6406.7893606112,6464.5081836798,1422258.0,0.0,0.0,1,1970-01-01 00:00:00.000000015,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000015
ACB,2020-01-10,6493.3675952141,6666.5240644198,6493.3675952141,6551.0864182826,2371531.0,0.0,0.0,1,1970-01-01 00:00:00.000000016,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000016
ACB,2020-01-13,6608.8052413512,6608.8052413512,6551.0864182826,6608.8052413512,1523357.0,0.0,0.0,-1,1970-01-01 00:00:00.000000017,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000017
ACB,2020-01-14,6608.8052413512,6781.9617105569,6608.8052413512,6781.9617105569,2851982.0,0.0,0.0,-1,1970-01-01 00:00:00.000000018,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000018
ACB,2020-01-15,6781.9617105569,6781.9617105569,6695.3834759541,6724.2428874884,1158657.0,0.0,0.0,-1,1970-01-01 00:00:00.000000019,vbar_sign,inf,-inf,1970-01-01 00:00:00.000000019
ACB,2020-01-16,6724.2428874884,6926.2587682284,6724.2428874884,6897.3993566941,2829777.0,0.0,0.0,1,1970-01-01 00:00:00.000000012,tp,7127.050929476828,6782.573570302736,
ACB,2020-01-17,6926.2587682284,6955.1181797626,6839.6805336255,6868.5399451598,2851269.0,0.0,0.0,1,1970-01-01 00:00:00.000000012,tp,7088.108149445163,6758.755843017118,
ACB,2020-01-20,6868.5399451598,7128.2746489683,6868.5399451598,7012.8370028312,4443379.0,0.0,0.0,-1,1970-01-01 00:00:00.000000015,sl,7238.381576159574,6900.064716167013,
ACB,2020-01-21,7070.5558258998,7128.2746489683,7012.8370028312,7070.5558258998,1800816.0,0.0,0.0,-1,1970-01-01 00:00:00.000000015,sl,7288.712856251535,6961.477310723932,
ACB,2020-01-22,7099.4152374341,7099.4152374341,7012.8370028312,7070.5558258998,1699379.0,0.0,0.0,-1,1970-01-01 00:00:00.000000015,sl,7280.998117302929,6965.334680198235,
ACB,2020-01-30,6983.9775912969,7012.8370028312,6695.3834759541,6810.8211220912,4250097.0,0.0,0.0,-1,1970-01-01 00:00:00.000000016,sl,7054.373505669406,6689.044930302097,
ACB,2020-01-31,6781.9617105569,6868.5399451598,6608.8052413512,6637.6646528855,4243264.0,0.0,0.0,-1,1970-01-01 00:00:00.000000017,sl,6884.217256522514,6514.388351066993,
ACB,2020-02-03,6435.6487721455,6637.6646528855,6262.4923029398,6522.2270067484,4441186.0,0.0,0.0,1,1970-01-01 00:00:00.000000019,tp,6763.283291607019,6401.69886431909,
ACB,2020-02-04,6608.8052413512,6695.3834759541,6493.3675952141,6695.3834759541,2397161.0,0.0,0.0,1,1970-01-01 00:00:00.000000021,tp,6950.572927403641,6567.788750229329,
ACB,2020-02-05,6753.1022990226,6781.9617105569,6608.8052413512,6637.6646528855,4561850.0,0.0,0.0,1,1970-01-01 00:00:00.000000020,tp,6885.1432833972485,6513.925337629626,
ACB,2020-02-06,6666.5240644198,6926.2587682284,6637.6646528855,6926.2587682284,2993981.0,0.0,0.0,-1,1970-01-01 00:00:00.000000022,sl,7211.174807492912,6783.800748596144,
ACB,2020-02-07,6926.2587682284,6955.1181797626,6810.8211220912,6868.5399451598,2007380.0,0.0,0.0,1,1970-01-01 00:00:00.000000024,tp,7152.917991814528,6726.350921832435,
ACB,2020-02-10,6868.5399451598,6897.3993566941,6753.1022990226,6810.8211220912,3422765.0,0.0,0.0,1,1970-01-01 00:00:00.000000024,tp,7084.694200107902,6673.884583082849,
