ticker,timestamp,open,high,low,close,volume,bu,sd,label,hit_time,hit_type,ub,lb,vbar_end,ema_20,ema_40,ema_80,ema_200,sma_40,sma_80,sma_200,macd,macd_signal,macd_diff,adx,rsi,stoch,stoch_signal,bb_upper,bb_lower,bb_width,bb_position,atr,atr_ratio,mfi,vwap,vwap_ratio,obv,return_4d,return_20d,return_40d,return_80d,return_240d,return_480d,volatility,volatility_of_volatility,volume_sma,volume_ratio,volume_zscore,bu_sd_ratio,net_active_volume,active_volume_ratio,high_low_ratio,close_open_ratio,gap,trend_sma,above_trend,vol_regime,roc_5,roc_10,roc_20,cum_return_5d,cum_return_10d,cum_return_20d,price_rank_20d,price_rank_50d
TDM,2025-03-12 09:15:00,52000.0,52000.0,49500.0,49500.0,6200.0,0.0,6200.0,1,1970-01-01 00:00:00.000009767,vbar_sign,inf,-inf,1970-01-01 00:00:00.000009767,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,6200.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,0.0,-6200.0,-0.9999999999983871,0.050505050505050504,-0.04807692307692308,0.0,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
VPD,2025-03-12 09:15:00,26035.0,26382.0,26035.0,26233.0,3900.0,3800.0,100.0,0,1970-01-01 00:00:00.000013342,vbar_neutral,inf,-inf,1970-01-01 00:00:00.000013342,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,3900.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,37.9999999962,3700.0,0.9487179487155162,0.013227614073876416,0.007605146917610908,0.0,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
VPD,2025-03-12 09:30:00,26134.0,26134.0,26134.0,26134.0,500.0,0.0,500.0,0,1970-01-01 00:00:00.000013343,vbar_neutral,inf,-inf,1970-01-01 00:00:00.000013343,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,3400.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,0.0,-500.0,-0.99999999998,0.0,0.0,-0.0037738726032096976,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
VPD,2025-03-12 09:45:00,26134.0,26134.0,26084.0,26084.0,2800.0,0.0,2800.0,0,1970-01-01 00:00:00.000013344,vbar_neutral,inf,-inf,1970-01-01 00:00:00.000013344,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,600.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,0.0,-2800.0,-0.9999999999964286,0.001916883913510198,-0.0019132164995790924,0.0,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
VPD,2025-03-12 10:00:00,26084.0,26084.0,26084.0,26084.0,400.0,200.0,200.0,0,1970-01-01 00:00:00.000013345,vbar_neutral,inf,-inf,1970-01-01 00:00:00.000013345,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,600.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,0.99999999995,0.0,0.0,0.0,0.0,0.0,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
VPD,2025-03-12 10:30:00,26134.0,26134.0,26134.0,26134.0,1800.0,1800.0,0.0,0,1970-01-01 00:00:00.000013346,vbar_neutral,inf,-inf,1970-01-01 00:00:00.000013346,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,2400.0,-0.003773872603209716,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,180000000000.0,1800.0,0.9999999999944446,0.0,0.0,0.001916883913510198,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
PRE,2025-03-12 10:45:00,19454.0,19454.0,19454.0,19454.0,1000.0,400.0,600.0,0,1970-01-01 00:00:00.000007094,vbar_neutral,inf,-inf,1970-01-01 00:00:00.000007094,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,1000.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,0.6666666666555555,-200.0,-0.199999999998,0.0,0.0,0.0,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
VPD,2025-03-12 10:45:00,26134.0,26134.0,26134.0,26134.0,200.0,200.0,0.0,1,1970-01-01 00:00:00.000013347,vbar_sign,inf,-inf,1970-01-01 00:00:00.000013347,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,2400.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,20000000000.0,200.0,0.99999999995,0.0,0.0,0.0,19781.75,0.0,1.0,-0.37738726032096975,0.0,0.0,-0.3773872603209716,0.0,0.0,0.525,0.58
TDM,2025-03-12 11:00:00,52600.0,52600.0,52600.0,52600.0,100.0,0.0,100.0,-1,1970-01-01 00:00:00.000009768,vbar_sign,inf,-inf,1970-01-01 00:00:00.000009768,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,6300.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,0.0,-100.0,-0.9999999999000001,0.0,0.0,0.06262626262626263,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
TDM,2025-03-12 11:15:00,53000.0,53000.0,53000.0,53000.0,500.0,500.0,0.0,-1,1970-01-01 00:00:00.000009769,vbar_sign,inf,-inf,1970-01-01 00:00:00.000009769,19833.376319875468,19809.60453150414,19822.171192817885,19873.658915984037,19786.65,19764.84375,19753.25,53.11110789386203,54.861658578406804,0.17080434009180578,13.706833490647877,51.16429662797319,53.84615384615385,54.14634146341461,20503.699716214425,19231.305692122718,0.04759155454967151,0.5858131290558374,126.32785905879099,0.005985883517274613,49.09256970435972,19762.480782146653,1.0016597795136808,6800.0,0.0,0.0,0.00328947368421062,0.006893039820851654,0.026621594258330106,0.05010556139356426,0.005401038550162744,0.0005493692619706684,55665.0,0.6719818350146518,-0.2981069873328438,50000000000.0,500.0,0.99999999998,0.0,0.0,0.0076045627376425855,19781.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.58
